id,document,label,is_test
8932939,수OO만에 다시보네여,1,0
3681731,일방적인 영화다. 관객 좀 고려해주시길,0,0
9847174,세상을 초월하는 한 사람의 선한 마음,1,0
8506899,멍하다.. 여러생각이 겹치는데 오랜만에 영화 보고 이런 느낌 느껴본다,1,0
9991656,"우와 별 반개도 아까운판에 밑에 CJ 알바생들 쩐다.. 전부 만점이야 ㅎㅎㅎ..,. CJ야 그만해라 저영화는 정말 쓰레기다...원작에서 크게벋어났고 마치 메간폭스를 위해 스폰한 영화. 저걸보느니 투니버스봐라. 돈아깝고 시간아깝다.",0,0
6093387,지금도 가끔 다시 본다,1,0
10155375,재미있는 추리 영화인줄 알고 봤는데 아니네요. 스토리도 그닥 와닿지 않고 다른 분들이 극찬(?)하는 영상미도 감흥이 없었습니다. 오락영화가 아닙니다. 혹시 보실분들 참고하시기 바랍니다.,0,0
6265202,일본영화를 거의 처음 본 건데 정말 재밌게 봤습니다~! 강추 두둥!!,1,0
5716851,결말이참 맘에든다. 넘 사랑스럽지만 이루어질 수 없는 로망스ㅜㅜ,1,0
9891398,엇갈린 사랑 해보신 분들께 추천 합니다.,1,0
9408352,"네티즌 평균 평점이 7점이네 , 이영화가????",1,0
4844571,정말 재미있어요,1,0
6904821,재미없다,0,0
4329384,사랑의 정의는 없다........사랑의 방법도.....,1,0
8270005,이런 감독만 만났으면 아놀드 형 신세도 오래 안갔을 듯..J카메론과 J맥티어난 감독들이 살렸다,0,0
6078910,진짜 잼있어요~!! 요즘 빠져서 매주 챙겨보고있어요 진짜내용도좋고연기도좋고!,1,0
9666694,인물들간의 갈등과 심리묘사가 멋지다,1,0
8810982,시작은 엄청 굉장했지만 중반이후로 산으로 가버리는 영화;;;;이건뭐...여주인공이 호텔리어인데 거의 첩보원수준이고...남주인동은 나홀로집에 도둑이 되어버리는;;밑도끝도없이 시간 아깝고 끝내는 짜증나버렸네요;;노래는 무슨 슬릴러 노래에;;ㅋ,0,0
1502430,"총, 칼 없이도 가능한 전쟁..",1,0
6654573,난 볼만하던데,1,0
4411138,졸라 참신한 영화였음ㅋㅋ 국물 먹는 컷은 아우 아주그냥;;;;;,1,0
8938121,좋다..너무좋다 불교에대해깊이생각해본다...,1,0
6668779,원년 멤버 모아놓고 참 밋밋한 동창회 웃음도 없고 이건뭐,0,0
7080530,1같은 속시원한액션은 없지만 2에는스토리가있다 1에엑션을몰아넣고 2에서설명하는느낌,1,0
5581337,제목 네이밍은 개간지인데 내용은 쥬라기공원 믹스,0,0
7017146,뻔할것같지만 뻔하지않은영화,1,0
5364171,줄리엣 비노쉬란 배우에 대해 다시 생각하게 되었다..,1,0
3677839,볼거리 하나 있었다 담배피는 조니,0,0
10218206,믿고 보는 스페인 스릴러 영화..강추~,1,0
5059309,정말 멜로와 액션 연기 모두 최고의영화 내용도 참신하고 오랫만에 재미잇영화봤네요,1,0
493092,좋았다,1,0
6156059,강력한 망작의 위력땜에 김태희도 소용없네.. 그냥 한숨만 나온다.어이없다.,0,0
378151,두 여배우의 팽팽한 대결도 볼만했다.,1,0
3975805,나도 잃어버린 것을 찾고 싶다,1,0
10178860,화면 너무 머리아프고... 감독의 연출력최악이라고 생각한다. 먼가 되게 흔들리고 어려운척하면 다 작품성 있을줄아나보다. 영화공부다시해야될듯,0,0
5519530,legend,1,0
5333889,아니 어떻게 이게 6점...말도안돼,1,0
348065,난 일상적인 이런영화가 몸에더 와닫는다..!,1,0
325606,꼬마아이가 귀엽다-_-,0,0
10233761,꼭 다시 보고싶은 영화!!,1,0
5183786,너무나 재미없소이다.,0,0
10027235,가슴에 하나씩은 한이 있나????,1,0
9276703,두 분다 안타깝소이다.,0,0
65486,하드디스크 용량이 아까운 영화 -_- 받고 있었던 시간은 더 아까운영화,0,0
842920,10번 봐도 웃기고! 음악도 최고! 호테이도 멋있고!,1,0
10071148,몇번을 봐도 너무 슬픈영화...ㅠㅠ,1,0
1139593,차가운 파랑색의 화면처리.. 왠지 우울한 작품..,1,0
8415748,대책없는 평점알바들 때문에 기본점수만 준다.,0,0
3053762,오오오오 간만에 재밌게 본 영화입니다. 소름끼칩니다 !!,1,0
8712276,좋은사람이 되고 싶었던 두남자의 이야기.과거와 현재를 넘나들며 무간도시리즈의 궁금증을 풀어주었다.하지만 그로인해 어려움을 느꼈다.정신분열을 통해 진영인이 되어버려 유건명을 잡는 충격적 결말이 좋았다,1,0
9614840,요즘 홍콩느와르가 이때만 못하는이유 : 무간도시리즈가 이미 한획을 그었기때문,1,0
